annotator,TN,FP,FN,TP,Sen,Spe,Unknown
AI,2340.0,1463.0,126.0,931.0,0.8807947019866716,0.6153037075992476,
changgeng-1,3185.0,607.0,120.0,841.0,0.8751300728406998,0.8399261603375305,107.0
changgeng-2,2936.0,860.0,57.0,999.0,0.9460227272726377,0.7734457323498215,8.0
changgeng-3,3616.0,165.0,262.0,761.0,0.7438905180839938,0.956360751124016,56.0
changgeng-4,3279.0,519.0,254.0,801.0,0.7592417061610655,0.8633491311216203,7.0
changgeng-5,3524.0,274.0,260.0,750.0,0.7425742574256691,0.9278567667193015,52.0
changgeng-6,3447.0,352.0,177.0,875.0,0.8317490494295787,0.9073440379046879,9.0
changgeng-7,3442.0,357.0,211.0,837.0,0.7986641221373283,0.9060279020794707,13.0
changgeng-8,3167.0,396.0,200.0,507.0,0.7171145685996156,0.8888577041818443,590.0
changgeng-9,2314.0,1482.0,95.0,953.0,0.9093511450380811,0.6095890410958743,16.0
